ID,Age,Gender,Market,Experience,Anxiety,Schema,Risk_Behavior
1,44,Male,Forex,12,48.0,162.0,24.0
2,34,Male,Bourse,28,40.0,180.0,24.0
3,44,Male,Forex,46,32.0,155.0,22.0
4,34,Male,Gold,41,45.0,218.0,24.0
5,27,Male,Bourse,53,43.0,194.0,29.0
6,29,Female,Gold,70,49.0,179.0,26.0
7,53,Male,Bourse,26,45.0,150.0,31.0
8,22,Male,Bourse,51,41.0,264.0,29.0
9,48,Male,Bourse,30,46.0,246.0,21.0
10,18,Male,Bourse,17,59.0,218.0,25.0
11,21,Female,Crypto,13,45.0,239.0,38.0
12,19,Female,Bourse,28,52.0,231.0,31.0
13,32,Male,Forex,48,32.0,170.0,23.0
14,41,Male,Bourse,40,30.0,158.0,21.0
15,40,Male,Forex,46,29.0,188.0,27.0
16,27,Male,Bourse,43,60.0,242.0,44.0
17,21,Female,Bourse,47,26.0,178.0,17.0
18,27,Male,Bourse,9,53.0,229.0,28.0
19,28,Male,Bourse,46,56.0,173.0,22.0
20,49,Male,Bourse,44,59.0,199.0,32.0
21,34,Female,Bourse,44,56.0,171.0,22.0
22,24,Female,Crypto,38,61.0,190.0,16.0
23,45,Female,Crypto,30,56.0,196.0,34.0
24,39,Female,Crypto,17,48.0,251.0,21.0
25,43,Male,Bourse,27,49.0,182.0,27.0
26,29,Male,Bourse,112,47.0,230.0,34.0
27,30,Female,Crypto,34,43.0,210.0,22.0
28,26,Male,Bourse,120,58.0,245.0,34.0
29,19,Male,Gold,83,44.0,210.0,28.0
30,30,Male,Bourse,16,53.0,231.0,26.0
31,23,Female,Bourse,49,44.0,241.0,32.0
32,32,Female,Crypto,11,58.0,260.0,40.0
33,19,Male,Forex,66,54.0,310.0,26.0
34,18,Female,Gold,35,61.0,209.0,28.0
35,18,Male,Bourse,29,43.0,213.0,23.0
36,36,Male,Bourse,40,61.0,228.0,24.0
37,33,Male,Bourse,68,48.0,178.0,24.0
38,46,Female,Forex,21,50.0,269.0,34.0
39,53,Female,Bourse,43,54.0,215.0,20.0
40,42,Male,Forex,48,48.0,193.0,27.0
41,43,Male,Forex,59,31.0,212.0,20.0
42,28,Female,Bourse,120,50.0,157.0,27.0
43,35,Male,Forex,42,46.0,213.0,26.0
44,33,Female,Crypto,55,44.0,144.0,24.0
45,18,Male,Bourse,22,34.0,163.0,26.0
46,18,Female,Gold,22,53.0,226.0,36.0
47,38,Male,Bourse,62,44.0,229.0,28.0
48,34,Male,Bourse,45,52.0,262.0,35.0
49,38,Male,Gold,33,46.0,143.0,21.0
50,22,Male,Bourse,63,61.0,250.0,37.0
51,38,Female,Forex,53,46.0,217.0,27.0
52,36,Male,Bourse,11,42.0,174.0,25.0
53,38,Male,Crypto,100,66.0,224.0,24.0
54,22,Male,Bourse,44,34.0,159.0,30.0
55,31,Male,Forex,78,42.0,200.0,24.0
56,53,Male,Crypto,9,47.0,168.0,32.0
57,39,Male,Bourse,12,55.0,238.0,43.0
58,39,Female,Bourse,39,44.0,262.0,30.0
59,23,Male,Gold,86,66.0,297.0,42.0
60,33,Female,Gold,37,57.0,254.0,25.0
61,36,Female,Forex,38,56.0,186.0,32.0
62,34,Male,Gold,72,48.0,233.0,29.0
63,37,Male,Bourse,57,33.0,144.0,25.0
64,45,Male,Bourse,22,49.0,202.0,39.0
65,39,Male,Crypto,22,40.0,206.0,28.0
66,31,Male,Bourse,34,37.0,206.0,36.0
67,36,Male,Bourse,49,41.0,232.0,29.0
68,35,Male,Crypto,23,51.0,198.0,26.0
69,37,Male,Bourse,46,49.0,307.0,41.0
70,29,Male,Crypto,20,46.0,198.0,23.0
71,27,Male,Forex,26,46.0,165.0,19.0
72,27,Male,Forex,103,63.0,223.0,32.0
73,18,Male,Bourse,64,32.0,175.0,25.0
74,32,Female,Gold,24,55.0,173.0,25.0
75,33,Male,Gold,33,51.0,253.0,35.0
76,33,Female,Bourse,28,61.0,238.0,34.0
77,39,Male,Bourse,80,49.0,244.0,26.0
78,28,Female,Bourse,41,47.0,208.0,32.0
79,22,Male,Bourse,49,62.0,269.0,24.0
80,36,Male,Crypto,18,45.0,205.0,23.0
81,40,Male,Bourse,23,38.0,210.0,20.0
82,32,Female,Bourse,33,48.0,199.0,32.0
83,31,Female,Forex,82,52.0,255.0,34.0
84,49,Female,Bourse,72,33.0,208.0,18.0
85,33,Female,Gold,30,55.0,228.0,29.0
86,30,Male,Bourse,22,48.0,239.0,30.0
87,32,Female,Crypto,37,60.0,199.0,24.0
88,35,Male,Crypto,12,44.0,178.0,28.0
89,46,Male,Bourse,40,31.0,162.0,33.0
90,43,Male,Crypto,22,43.0,246.0,25.0
91,46,Female,Bourse,53,64.0,181.0,29.0
92,40,Male,Gold,32,56.0,206.0,29.0
93,27,Female,Bourse,18,48.0,178.0,31.0
94,18,Male,Crypto,94,36.0,206.0,26.0
95,48,Female,Bourse,32,41.0,214.0,27.0
96,30,Female,Crypto,113,47.0,226.0,30.0
97,38,Male,Crypto,14,45.0,240.0,26.0
98,18,Male,Bourse,37,42.0,212.0,25.0
99,20,Male,Crypto,120,77.0,281.0,44.0
100,31,Male,Forex,11,55.0,200.0,27.0
101,25,Male,Gold,37,72.0,285.0,36.0
102,35,Male,Crypto,42,24.0,141.0,13.0
103,38,Male,Gold,27,48.0,232.0,33.0
104,31,Male,Crypto,54,46.0,233.0,35.0
105,28,Male,Gold,35,49.0,240.0,18.0
106,46,Male,Bourse,22,51.0,202.0,23.0
107,22,Male,Forex,53,49.0,157.0,28.0
108,21,Female,Crypto,57,49.0,207.0,29.0
109,19,Male,Forex,17,27.0,141.0,33.0
110,29,Male,Forex,58,43.0,202.0,21.0
111,29,Male,Forex,51,53.0,247.0,29.0
112,39,Female,Gold,22,47.0,210.0,24.0
113,27,Female,Forex,26,37.0,137.0,21.0
114,39,Male,Gold,46,36.0,201.0,22.0
115,31,Male,Bourse,13,41.0,201.0,20.0
116,25,Female,Gold,43,46.0,233.0,31.0
117,31,Female,Crypto,54,30.0,182.0,25.0
118,25,Male,Bourse,35,53.0,192.0,26.0
119,36,Female,Crypto,22,38.0,207.0,28.0
120,45,Female,Crypto,54,42.0,284.0,30.0
121,22,Male,Bourse,26,41.0,202.0,17.0
122,28,Female,Bourse,65,42.0,228.0,36.0
123,18,Male,Bourse,43,59.0,160.0,21.0
124,39,Male,Gold,22,38.0,143.0,28.0
125,38,Male,Forex,43,42.0,169.0,36.0
126,33,Male,Bourse,42,41.0,229.0,21.0
127,18,Female,Gold,27,44.0,201.0,33.0
128,18,Female,Forex,26,47.0,232.0,31.0
129,35,Male,Crypto,42,31.0,132.0,24.0
130,37,Female,Crypto,41,50.0,268.0,35.0
131,29,Male,Crypto,29,56.0,215.0,22.0
132,39,Male,Crypto,41,44.0,183.0,35.0
133,29,Male,Bourse,37,61.0,246.0,32.0
134,18,Male,Crypto,50,55.0,236.0,37.0
135,38,Female,Crypto,26,58.0,219.0,29.0
136,18,Male,Forex,23,50.0,218.0,25.0
137,18,Female,Forex,51,47.0,208.0,26.0
138,34,Male,Crypto,36,44.0,215.0,19.0
139,38,Female,Forex,20,52.0,200.0,32.0
140,18,Male,Forex,81,49.0,260.0,27.0
141,36,Male,Forex,26,53.0,172.0,38.0
142,26,Female,Gold,29,51.0,269.0,32.0
143,18,Female,Bourse,120,47.0,199.0,25.0
144,34,Female,Bourse,16,59.0,207.0,31.0
145,18,Female,Gold,31,53.0,228.0,34.0
146,35,Female,Gold,39,32.0,160.0,31.0
147,20,Female,Gold,69,63.0,258.0,39.0
148,18,Male,Crypto,50,39.0,201.0,27.0
149,27,Male,Bourse,24,41.0,216.0,29.0
150,36,Male,Crypto,50,59.0,251.0,37.0
151,26,Male,Gold,19,46.0,229.0,28.0
152,41,Male,Bourse,23,39.0,231.0,33.0
153,30,Female,Crypto,46,53.0,184.0,27.0
154,18,Male,Crypto,19,49.0,228.0,34.0
155,42,Female,Bourse,30,28.0,155.0,19.0
156,33,Male,Bourse,63,42.0,276.0,33.0
157,59,Male,Bourse,48,47.0,222.0,24.0
158,33,Female,Bourse,64,52.0,137.0,27.0
159,37,Female,Crypto,46,41.0,240.0,33.0
160,32,Female,Bourse,32,54.0,217.0,19.0
161,23,Female,Bourse,70,54.0,223.0,30.0
162,37,Male,Bourse,63,43.0,231.0,29.0
163,35,Male,Bourse,26,57.0,219.0,32.0
164,33,Female,Bourse,40,47.0,252.0,24.0
165,34,Female,Forex,21,45.0,229.0,33.0
166,41,Female,Forex,30,63.0,228.0,29.0
167,25,Male,Forex,65,40.0,214.0,33.0
168,41,Male,Forex,56,55.0,199.0,17.0
169,53,Female,Bourse,104,36.0,179.0,30.0
170,34,Male,Crypto,68,34.0,189.0,18.0
171,44,Female,Forex,92,56.0,184.0,30.0
172,27,Male,Forex,80,39.0,160.0,24.0
173,32,Female,Bourse,32,46.0,219.0,24.0
174,24,Female,Bourse,86,54.0,293.0,26.0
175,34,Male,Crypto,36,55.0,233.0,21.0
176,26,Male,Crypto,19,59.0,240.0,28.0
177,26,Male,Forex,59,47.0,243.0,37.0
178,28,Female,Bourse,36,64.0,227.0,32.0
179,23,Male,Crypto,26,50.0,232.0,31.0
180,20,Male,Gold,26,42.0,224.0,20.0
